UTC,x_coord,y_coord,click,scroll
2022-08-15 01:50:02.463094,1676,-468,None,None
2022-08-15 01:50:02.463094,1669,-468,None,None
2022-08-15 01:50:02.464094,1665,-467,None,None
2022-08-15 01:50:02.465089,1654,-466,None,None
2022-08-15 01:50:02.466086,1643,-466,None,None
2022-08-15 01:50:02.467084,1636,-465,None,None
2022-08-15 01:50:02.468082,1633,-465,None,None
2022-08-15 01:50:02.469078,1622,-464,None,None
2022-08-15 01:50:02.471077,1614,-463,None,None
2022-08-15 01:50:02.473071,1611,-463,None,None
2022-08-15 01:50:02.475066,1600,-463,None,None
2022-08-15 01:50:02.476067,1583,-462,None,None
2022-08-15 01:50:02.476067,1577,-462,None,None
2022-08-15 01:50:02.479051,1564,-462,None,None
2022-08-15 01:50:02.479051,1559,-462,None,None
2022-08-15 01:50:02.480049,1556,-462,None,None
2022-08-15 01:50:02.481048,1551,-462,None,None
2022-08-15 01:50:02.483042,1548,-462,None,None
2022-08-15 01:50:02.483042,1543,-462,None,None
2022-08-15 01:50:02.485041,1537,-463,None,None
2022-08-15 01:50:02.486034,1533,-463,None,None
2022-08-15 01:50:02.487032,1529,-463,None,None
2022-08-15 01:50:02.487032,1525,-464,None,None
2022-08-15 01:50:02.488028,1522,-465,None,None
2022-08-15 01:50:02.490024,1520,-465,None,None
2022-08-15 01:50:02.491022,1517,-466,None,None
2022-08-15 01:50:02.492019,1513,-466,None,None
2022-08-15 01:50:02.493017,1510,-467,None,None
2022-08-15 01:50:02.494013,1508,-468,None,None
2022-08-15 01:50:02.494013,1505,-469,None,None
2022-08-15 01:50:02.495009,1502,-470,None,None
2022-08-15 01:50:02.496025,1499,-471,None,None
2022-08-15 01:50:02.497304,1497,-472,None,None
2022-08-15 01:50:02.498297,1495,-473,None,None
2022-08-15 01:50:02.499295,1492,-475,None,None
2022-08-15 01:50:02.500296,1490,-476,None,None
2022-08-15 01:50:02.501287,1488,-478,None,None
2022-08-15 01:50:02.502284,1487,-479,None,None
2022-08-15 01:50:02.503282,1486,-481,None,None
2022-08-15 01:50:02.504278,1484,-483,None,None
2022-08-15 01:50:02.505275,1483,-485,None,None
2022-08-15 01:50:02.506271,1483,-486,None,None
2022-08-15 01:50:02.507268,1482,-488,None,None
2022-08-15 01:50:02.508267,1482,-490,None,None
2022-08-15 01:50:02.509265,1481,-492,None,None
2022-08-15 01:50:02.510262,1481,-493,None,None
2022-08-15 01:50:02.512257,1481,-494,None,None
2022-08-15 01:50:02.513251,1481,-496,None,None
2022-08-15 01:50:02.513251,1481,-497,None,None
2022-08-15 01:50:02.514249,1481,-499,None,None
2022-08-15 01:50:02.515246,1481,-501,None,None
2022-08-15 01:50:02.516244,1482,-502,None,None
2022-08-15 01:50:02.517244,1483,-504,None,None
2022-08-15 01:50:02.518247,1484,-506,None,None
2022-08-15 01:50:02.520234,1484,-508,None,None
